nama_listing,daerah,l_tanah,l_bangunan,k_tidur,k_mandi,listrik,lantai,jarak_rs,jarak_pusatbelanja,jarak_kampus,jarak_tol,stasiun,harga_rumah
Dijual Rumah Cluster Siap Huni 2 Lantai Di Beji Depok,Beji,64,45,2,1,1300,1,4.3,0.75,1.8,0.75,3.2,775000000
Rumah 7 Menit ke Gerbang Tol Kukusan 3 Hadap Selatan Siap KPR J-38753,Beji,93,60,3,2,2200,1,2.7,2.8,3.7,2.5,4.2,940000000
Dijual Rumah American Callsik Di Jln Curug,Beji,66,125,3,3,2200,2,1.5,4.8,3.7,1.9,5.3,1470000000
"Jual Rumah Baru 2 Lantai, di Jl. Kedung, Dekat Tol Kukusan Depok",Beji,300,400,6,4,2200,2,2.1,2.3,1.4,1.9,1.7,2400000000
"Rumah dan Kost An di Jln. Utama Margonda Raya, Beji , Depok",Beji,287,410,4,3,4400,2,2.4,1.1,1.9,1.3,1.7,4000000000
Rumah Siap Huni 3 Kamar SHM di Beji Depok Utara,Beji,53,85,3,2,2200,2,1.5,3.3,2.2,1.8,2.7,950000000
Rumah 2 LT SHM 12 Menit ke Dtc (Depok Town Center) Dibantu KPR J-40266,Beji,62,45,2,2,2200,2,2.4,3.1,4.4,2.7,3.7,1220000000
Dijual Rumah Murah Harga Dibawah Pasaran di Perumahan Executive Village Kel.tanah Baru Kec.beji Kota Depok,Beji,120,140,4,2,2200,2,1.3,4.9,3.5,1.7,5.1,1300000000
"Rumah Cantik SHM Hasan Niung Tanah Baru Beji, Depok",Beji,71,71,2,1,1300,1,2.4,2.1,4.1,3.3,4.1,700000000
"Rumah 2 Lantai Butuh Cepat di Beji Timur, Depok",Beji,242,120,4,3,3500,2,1.9,1.9,1.7,2.3,0.9,1400000000
Dijual Rumah 2 Lantai Semi Furnished Dalam Semi Cluster Lingkungan Yang Nyaman Di Tanah Baru Beji Depok.,Beji,80,140,3,2,4400,2,1.3,4.1,3.9,1.7,4.3,1300000000
Jual Cepat! Rumah Idaman Modern Full Furnish Di Kembang Beji - Siap Huni & Akses Super Strategis!,Beji,77,106,4,2,2200,2,1.9,3.1,2.1,2.4,1.3,1150000000
"Rumah Bagus di Jl Zakaria, Tanah Baru Beji Depok",Beji,45,40,1,1,1300,1,2.7,3.4,4.9,3.2,4.4,400000000
"Turun Harga Rumah Pinggir Jalan Raya Beji Depok - Cocok Usaha, Lokasi Strategis, Harga Nego",Beji,138,90,3,2,2200,1,1.5,2.1,2.1,2.1,2.6,1250000000
Di Jual Rumah Murah Dalam Komplek di Cinere,Cinere,270,200,3,2,5500,2,4.6,3.9,2.6,2.3,8.6,2700000000
"Dijual Rumah di Hook,Sangat Terawat,Cantik Siap Huni,Gaya Euro Asia di Megapolitan Cinere",Cinere,250,248,4,4,16500,2,2.1,1.1,3.6,3.5,6.7,3500000000
"Best Price Rumah 1,5 Lantai Super Nyaman di Komplek Bukit Cinere Indah",Cinere,250,200,5,5,3500,2,2.3,0.95,1.9,1.5,6.8,3500000000
Megapolitan Cinere Depok Jarang Ada,Cinere,244,150,5,3,3300,1,2.2,1.2,3.8,3.6,6.8,2100000000
Dijual Rumah Cantik di Selatan Jakarta,Cinere,90,85,3,2,2200,2,1.1,1.1,2.1,5.1,4.5,1650000000
Rumah di Villa Cinere Mas 4+1 KT Rapih & Siap Huni,Cinere,300,300,5,4,3500,2,1.8,2.1,2.4,5.1,5.1,3900000000
Rumah Hadap Taman Baru Renovasi Komplek Puri Cinere Harga Terbaik,Cinere,338,400,4,4,11000,2,0.85,1.2,2.2,4.3,4.6,4250000000
Rumah Nyaman Belakang Mall di Jl Ciloto Komp Puri Cinere,Cinere,180,190,5,3,2200,2,0.9,1.1,2.1,4.2,4.5,2750000000
For Sale Rumah di Graha Cinere Dalam Klomplek One Gate,Cinere,270,200,4,3,2200,2,4.8,4.1,2.8,2.5,8.8,2700000000
Dijual Rumah Mewah Royal Fountain Town House di Andara Pangkalan Jati Baru Depok,Cinere,187,200,3,3,5500,3,3.3,4.1,1.5,1.1,6.3,2900000000
Rumah Minimalis 3 Lantai Dalam Kluster Elite Di Vila Cinere Mas.,Cinere,205,250,4,3,5500,2,1.9,2.1,2.5,5.1,5.1,3700000000
"Rumah Mewah Dalam Komplek Puri Cinere, Tenang Nyaman & Asri",Cinere,350,247,5,5,4400,2,0.9,1.2,2.2,4.4,4.6,6500000000
Villa Ala Bali di Tengah Kota? Yuk Lihat Rumah Cantik Ini di Graha Cinere,Cinere,120,138,2,2,2200,2,4.7,4.1,2.7,2.5,8.7,2300000000
Dijual Rumah Mewah 2Lt 5+2Kt 4 Parkiran Lebar Muka 25Mtr,Cinere,360,500,7,6,3500,2,1.4,0.2,2.9,2.9,6.1,4500000000
"Rumah Strategis di Perumahan Jati Indah, Pangkalan Jati, Cinere",Cinere,500,240,6,3,2200,2,1.1,1.1,1.1,4.1,5.3,5000000000
Rumah Layak Huni di Megapolitan Cinerere,Cinere,343,400,5,5,5500,2,2,1,3.6,3.4,6.6,4500000000
"Rumah Hitung Tanah di Jln Bukit Cinere, Depok",Cinere,790,160,4,3,3500,1,2.2,1.1,1.8,2.7,6.9,5800000000
Rumah siap huni di Cinere Depok,Cinere,130,180,4,3,3300,2,2,1.1,3.5,3.6,6.6,1700000000
"Rumah Bagus, Siap Huni Plus Ruang Usaha di Andara, Pondok Labu Dekat M R T Lebak Bulus",Cinere,419,300,4,4,6600,2,3.4,4.1,1.6,1.1,6.4,6600000000
Rumah Minimalis Bagus Di Komplek Bukit Cinere Indah,Cinere,123,150,4,4,4400,2,2.6,1.1,2.3,3.1,6.9,2800000000
"Rumah di Cinere, Taman Tiga Putra, Depok",Limo,124,150,3,3,2200,2,3.2,4.1,3.2,2.7,8.9,1250000000
"Rumah Cantik Bersih Terawat di Tabanan Raya, Depok",Limo,137,60,2,1,1300,1,4.9,3.7,2.1,2.8,8.9,1400000000
Rumah 500 Meter ke Pintu Tol Cinere di Cluster Limo Residence,Limo,120,140,3,2,2200,2,4.9,4.1,1.4,1.1,8.8,1850000000
Rumah Asri di Bukit Nirvana Limo,Limo,147,45,3,1,1300,1,4.3,2.7,3.3,2.5,6.7,1800000000
"Rumah di Griya Kencana Bagus Siap Huni, SHM, Limo Depok",Limo,115,80,3,1,2200,1,4.3,4.4,2.3,1.8,8.5,1300000000
"Rumah di Sulthan Residence, Limo - Cinere, Over Kredit. 600 jt",Limo,52,52,2,1,1300,1,3.9,5.4,3.1,2.6,9.8,600000000
Rumah Mewah Hook Strategis di Perumahan Graha Cinere Limo Depok,Limo,405,286,4,4,4400,2,4.9,3.5,1.8,2.3,9.3,3500000000
Rumah Siap Huni dalam Komplek di Cinere Limo Depok,Limo,308,119,3,2,3500,2,4.9,3.6,1.9,2.4,9.3,2500000000
Rumah Luas Siap Huni Lokasi Bagus di Cinere Limo Depok,Limo,313,119,4,3,5500,1,4.8,3.5,1.8,2.3,9.2,2500000000
Rumah Minimalis 10 Menit ke Gerbang Toll Limo 2 Bebas Banjir J39824,Limo,85,110,3,2,2200,2,3.2,4.6,2.8,1.5,7.1,1880000000
Rumah Shm 2 Lantai Siap Huni Strategis Di Cinere Hijau Residence,Limo,90,131,3,3,2200,2,4.4,3.6,1.2,1.4,8.4,1200000000
Rumah Aman dan Nyaman Siap Huni di Griya Pendowo Indah Depok,Limo,135,120,3,2,2200,2,4.2,3.1,2.8,2.3,7.1,1550000000
Dijual cepat rumah bagus di Pendowo Mension Hills Limo Depok,Limo,85,125,4,3,2200,2,4.3,3.2,3.1,2.1,7.2,1380000000
Rumah Minimalis SHM 8 Menit ke Gerbang Tol Limo 2 Bebas Banjir J41574,Limo,70,45,2,1,1300,1,4.2,5.1,2.5,2.1,7.9,610000000
Rumah 1 Lantai di Limo Depok,Limo,144,100,3,3,1300,1,5.7,2.5,4.7,3,5,1390000000
Dijualmurah Rumah 1 Lt Suap Huni Di Bukit Mampang Residence Bagus,Limo,84,54,2,2,1300,1,5.6,2.3,4.7,2.9,4.9,835000000
"Rumah di Wisma Cakra 2 Lantai, lokasi Bagus, hadap Timur",Limo,180,120,3,2,2200,1,3.8,4.7,2.1,1.1,7.8,1600000000
Dijual Rumah 2 Lantai Non Komplek Di Limo Depok,Limo,246,200,3,2,1300,2,4.1,2.8,3.7,1.9,7.1,1400000000
Rumah Hook Strategis Dekat Southhcity di Griya Cinere Depok,Limo,300,250,4,3,4400,2,3.8,2.5,0.5,1.3,8.6,6000000000
"Jual Rumah Bagus 2 Lantai, Bukit Mampang Residence, Grogol, Limo Depok",Limo,97,190,4,3,4400,2,5.8,2.5,4.9,3.1,5.1,1400000000
Rumah Cluster Super Nyaman di Arthayasa Limo Cinere Depok,Limo,77,70,2,1,1300,1,5.5,3.5,2.8,2.3,7.6,725000000
Rumah Luas Di Cluster Citralake Sawangan -iml,Sawangan,144,66,2,2,1300,1,1.6,1.1,7.6,6.7,12,1500000000
"Jual Cepat Harga Dibawah Pasaran Rumah Cluster Bukit Tamphayan River View, Sawangan, Kota Depok.",Sawangan,150,90,3,2,1300,1,0.2,3.6,6.1,3.1,8.3,775000000
Rumah Brand New Cluster Gmt Residence Sawangan Depok Dekat Fasilitas Umum,Sawangan,83,45,2,1,1300,1,3.4,5.1,7.7,4.6,8.6,708000000
Termurah Jual Cepat Telaga Golf Sawangan Depok,Sawangan,105,36,2,1,2200,1,2.6,6.6,5.1,5.2,11,800000000
Rumah 2 Lantai di Depok 13 Menit ke Terminal SHM Bebas Banjir J35679,Sawangan,112,100,3,2,1300,2,3.8,3.8,4.4,4.1,9.8,1240000000
Rumah Dalam Perumahan Siap Huni di Sawangan (Ew),Sawangan,102,95,3,2,1300,1,0.3,3.6,5.9,2.9,8.9,1250000000
Rumah hook Modern H City Sawangan Depok akses 2 Tol,Sawangan,570,170,4,4,4400,1,2.6,4.6,3.5,7.5,12,4500000000
"Dijual Rumah Bukit Petro Sawangan, Depok",Sawangan,150,75,2,1,2200,1,1.5,4.8,6.6,4.2,9.2,950000000
Rumah Di Nuansa Bali (paling Depan )telaga Golf Sawangan Depok.,Sawangan,200,126,4,3,3500,2,2.9,5.7,5.2,5.2,10,2900000000
Jual Cepat Rumah Hoek Citra Lake Sawangan Depok Fully Furnished,Sawangan,234,150,3,2,3500,1,1.6,0.9,7.6,6.7,12,3500000000
Rumah Asri di Boulevard Telaga Golf Sawangan,Sawangan,370,205,3,3,3300,2,2.9,5.9,5.2,5.2,11,5550000000
Rumah Minimalis di Lokasi Prestise Telaga Golf Sawangan,Sawangan,134,110,3,2,2200,2,2.7,5.8,5.1,5.1,10,1270000000
Dijual Rumah Mewah Telaga Golf Sawangan Depok,Sawangan,162,110,4,3,2200,2,2.9,5.7,5.1,5.2,11,2200000000
Rumah LT 120 Strategis 10 Menit ke Rs Brawijaya Depok bisa KPR J40186,Sawangan,120,80,3,2,2200,1,1.8,5.1,6.8,4.5,9.4,890000000
Rumah berhalaman luas di Komplex Arco Duren Seribu Sawangan,Sawangan,824,300,4,3,3500,1,1.1,8.6,7.3,8.3,8.1,3500000000
"Dijual Rumah Bukit Petro Sawangan, Depok",Sawangan,150,75,2,1,2200,1,1.4,4.7,6.5,4.1,9.1,950000000
"Dijual Rumah di Bukit Rivaria Sawangan, Depok",Sawangan,120,140,3,3,2200,2,2.1,5.4,8.6,4.7,9.1,1200000000
Rumah LT 128 SHM 15 Menit ke The Park Sawangan Siap KPR J-14593,Sawangan,128,81,3,2,1300,2,2.8,5.6,5.1,5.2,11,1510000000
Dijual Rumah Taman Bumi Agung Residence Depok,Sawangan,98,70,3,2,2200,2,0.65,4.5,6.4,3.9,9.6,1300000000
Di Jual Rumah Talaga Golf Depok - Siap Huni!,Sawangan,162,180,4,2,2200,2,2.8,5.5,5.1,5.3,11,1600000000
Rumah Hook Strategis 13 Menit ke Alia Hospital Depok Dibantu KPR J46204,Cipayung,60,55,2,1,1300,2,1.8,4.1,6.1,5.3,1.7,760000000
"Jual Perum Green Pitara, Cipayung, Pancoran Mas, Depok",Cipayung,72,112,4,3,2200,2,2.8,2.9,7.1,3.4,3.6,980000000
Rumah Murah Di Cipayung Depok Dekat Kantor Kecamatan Cipayung,Cipayung,55,105,3,2,1300,2,3.7,4.2,7.2,4.4,3.1,625000000
Rumah LT 112 Hadap Selatan 8 Menit ke Stasiun Depok Dibantu KPR J-44222,Cipayung,112,100,3,2,2200,1,2.6,6.1,6.3,7.1,1.1,1830000000
Rumah Strategis 7 Menit ke Stasiun Citayam Siap KPR J-37281,Cipayung,90,70,3,2,2200,2,2.2,6.9,7.4,7.1,1.5,830000000
Rumah Cantik Nempel Jalan Raya Cipayung Depok,Cipayung,100,50,3,2,2200,1,2.9,5.3,7.2,5.5,2.1,800000000
HUNIAN ASRI CLUSTER DEPOK,Cipayung,70,64,2,1,1300,1,3.6,3.1,7.9,4.4,3.7,400000000
Rumah Siap Huni di Cipayung Depok,Cipayung,72,125,3,2,2200,1,2.6,4.2,7.6,6.6,2.8,800000000
Rumah Hook + 2 Kontrakan Di Taman Cipayung Depok,Cipayung,194,150,4,4,3500,2,4.4,3.2,8.8,3.6,4.2,2200000000
Rumah Strategis SHM 10 Mnt ke Stasiun Citayam Siap KPR J-19101,Cipayung,72,48,2,1,1300,1,2.5,4.8,7.6,6.5,2.9,670000000
"Rumah Baru Minimalis Ekonomis Strategis Di Cipayung, Depok Sit",Cipayung,40,30,2,1,1300,1,3.3,5.4,7.4,5.7,1.9,260000000
Rumah Murah Di Cipayung Depok Dekat Kantor Kecamatan Cipayung,Cipayung,55,105,3,2,1300,2,3.8,4.3,7.3,4.5,3.2,625000000
"Rumah Siap Huni Full Furnish Dekat Stasiun Citayam, Surat SHM IMB",Cipayung,60,45,2,1,2200,1,4.8,3.6,6.3,3.7,4.1,470000000
Rumah 2 Lantai Siap Huni di Cipayung Depok,Cipayung,107,160,4,3,2200,2,3.8,3.9,6.5,4.1,4.4,1460000000
Rumah Terawat 3 Lt 14 Menit ke Alia Hospital Depok Hadap Timur J33805,Cipayung,103,250,6,4,3500,3,3.1,3.7,7.1,4.9,2.1,1330000000
Rumah Minimalis LT 84 di Depok Akses Dekat Stasiun Bebas Banjir J33071,Cipayung,84,45,2,1,1300,1,2.6,4.2,7.7,5.9,3.2,830000000
Rumah 1 Lantai 5 Menit ke Terminal Dan Stasiun Citayam Siap KPR J33507,Cipayung,103,90,2,1,1300,1,2.5,4.1,7.6,5.8,3.1,1050000000
Rumah 1 Lantai SHM 17 Menit ke Stasiun Depok Baru Bebas Banjir J35917,Cipayung,72,45,2,1,2200,1,2.8,4.3,6.9,4.8,2.6,610000000
"Butuh Uang BU Cepat SHM Taman Induk Bojong Pondok Terong Cipayung, Depok",Cipayung,285,180,3,1,1300,1,4.5,4.9,5.9,5.1,4.4,950000000
Dijual Rumah Plus Kontrakan 3 Pintu Dekat Depo Kereta Depok,Cipayung,350,200,3,4,1300,1,2.8,5.2,7.1,5.4,1.9,1500000000
"Jual Cepat Harga Spesial Rumah Bagus Klasik 2 Lantai di Cluster Mutiara Depok Estate, Depok.",Sukmajaya,304,250,3,3,4400,2,1.9,5.6,3.6,6.3,4.9,3000000000
Rumah lama satu setengah lantai di Griya Pandawa Depok,Sukmajaya,110,150,3,3,2200,2,2.6,1.7,4.2,2.4,3.6,1350000000
HUNIAN STRATEGIS MUTIARA DEPOK,Sukmajaya,108,89,3,1,2200,1,1.7,5.4,4.5,6.1,4.7,950000000
Rumah sangat cantik di cluster Gema Pesona Estate Depok,Sukmajaya,180,130,3,1,2200,1,0.6,3.5,3.2,5.6,4.4,2800000000
Rumah Minimalis 6 Menit ke Rsu Hermina Depok 1 Lt Siap Huni J39340,Sukmajaya,83,36,2,1,1300,1,1.3,2.9,3.4,4.2,2.8,1000000000
Rumah Carport Luas 15 Menit ke Gerbang Tol Cisalak 4 Dibantu KPR J42433,Sukmajaya,100,100,3,2,4400,2,1.6,4.1,4.8,4.8,4.2,1770000000
Rumah 4 KT Strategis 12 Menit ke Eka Hospital Margonda Siap Huni J45576,Sukmajaya,97,106,4,2,2200,2,3.7,2.2,3.7,3.6,5.1,1080000000
Rumah Minimalis 12 Menit ke Mall Pesona Square 2 Carport bisa KPR J42433,Sukmajaya,100,100,3,2,4400,2,1.6,3.9,4.8,4.8,5.1,1770000000
Rumah Hadap Timur LT 165 Siap KPR 10 Mnt ke Pintu Tol Cisalak J-34667,Sukmajaya,165,150,3,3,3500,2,1.5,5.1,2.2,5.1,4.1,1660000000
"Dijual Rumah Perum Griya Lembah Abadi Jaya, Sukma Jaya, Kota Depok",Sukmajaya,72,54,2,1,1300,1,2.2,3.9,3.8,4.6,3.2,690000000
Hunian Hook Bukit Cengkeh Depok,Sukmajaya,100,82,3,2,2200,1,4.2,1.7,3.6,2.2,3.7,1250000000
Rumah Di H Japat Depok Sudah Renovasi,Sukmajaya,153,200,5,4,5500,2,1.3,4.1,4.3,4.8,4.6,2500000000
"Rumah Bagus di Abadi Jaya, Sukmajaya, LT: 250, LB: 250,Shm, Depok",Sukmajaya,250,250,3,2,2200,2,2.1,3.9,4.4,3.2,5.5,2700000000
Rumah Strategis Pd Sukmajaya Permai,Sukmajaya,130,130,3,3,2200,2,1.1,4.6,4.3,5.6,4.6,1300000000
Rumah 15 Mnt ke Pintu Tol Margonda SHM Hadap Timur Dibantu KPR J-36901,Sukmajaya,90,68,2,2,2200,1,1.1,4.7,2.6,5.6,4.6,830000000
"Dijual - Rumah Hook Full Furnished di Area Sukmajaya, Depok",Sukmajaya,215,110,4,3,2200,2,0.75,3.8,2.9,5.9,4.7,3500000000
Rumah 2 lantai bernuansa Villa di Pesona Khayangan Depok,Sukmajaya,162,220,4,3,3300,2,4.3,1.9,3.1,1.6,2.5,3500000000
"Rumah Harga Spesial di Perum Bella Casa Residence, Jl. Tole Iskandar, Depok.",Sukmajaya,120,70,2,1,1300,1,0.9,2.3,3.7,4.7,2.3,1400000000
Rumah Strategis Siap Huni di Jalan Mahakam Depok Timur,Sukmajaya,210,150,4,2,2200,2,4.1,2.3,3.4,1.9,3.5,2300000000
Rumah Siap Huni di Gema Pesona,Sukmajaya,180,145,5,3,2200,2,0.7,3.7,3.1,5.8,4.6,2500000000
Rumah 2 Lantai Cantik Pesona Khayangan Depok Jual Lelang,Sukmajaya,120,200,4,2,2200,2,4.1,1.7,2.9,1.4,2.3,1500000000
Perumahan Puri Hasanah 5 Blok J4,Pancoran Mas,90,50,2,1,2200,1,1.5,0.3,6.1,1.7,4.3,1000000000
Siap Huni Ardena Residence Hanya 5menit Ke Stasiun KRL,Pancoran Mas,90,40,2,1,1300,1,3.3,2.1,5.4,3.2,5.3,985000000
Rumah di Puri Depok Mas Depok Lingkungan Asri,Pancoran Mas,90,45,2,1,2200,1,0.8,1.5,5.9,2.5,3.6,896000000
Rumah Siap Huni Perumahan Jaya Agung Depok (Turun Harga),Pancoran Mas,182,200,4,3,2200,2,2.6,1.1,5.4,1.1,5.3,1600000000
Rumah Siap Huni Mampang Hills Depok | Dekat Tol Desari | Renovasi,Pancoran Mas,72,47,2,1,2200,1,2.2,0.95,5.5,2.4,4.9,870000000
Rumah LT 103 Strategis 10 Menit ke Rs Permata Depok Dibantu KPR J40175,Pancoran Mas,103,103,3,3,2200,2,2.3,2.2,5.8,1.6,6.8,1550000000
Rumah 4 Menit ke Gerbang Tol Sawangan Hadap Selatan Dibantu KPR J-36836,Pancoran Mas,65,90,3,2,5500,2,1.7,2.1,5.1,1.4,6.3,880000000
Rumah Hadap Selatan 10 Menit ke Gerbang Tol Brigif SHM Dibantu KPR J-38219,Pancoran Mas,77,54,2,1,2200,1,1.2,2.7,4.6,2.5,7.1,900000000
Rumah Mewah 2 Lantai di Pancoran.mas Depok Diapit 3 Tol Depok,Pancoran Mas,72,65,3,2,2200,2,2.5,2.1,5.6,3.5,4.3,1080000000
"Aset Lelang Pancoran Mas: Harga Miring, Cuan Nareng!",Pancoran Mas,90,120,3,2,2200,2,3.1,4.7,7,2.2,4.9,850000000
2 Lantai LT. 125 KPR SHM IMB Mampang Pancoran Mas Depok,Pancoran Mas,125,200,6,2,3300,2,1.9,1.3,5.8,2.7,4.5,1300000000
Rumah Halaman Luas Strategis di Jl Mampang Pancoran Mas Depok,Pancoran Mas,700,200,5,3,3300,1,1.6,1,5.5,2.4,4.2,5300000000
"Rumh Bagus, Siap Huni, Hook, Mampang Indah 2, Pancoran Mas, Depok",Pancoran Mas,270,250,5,3,3500,2,2.6,1.1,5.9,1.7,5.5,2500000000
Rumah Siap Huni Di Perumnas Depok 1 Lokasi Strategis,Pancoran Mas,200,180,4,2,2200,1,0.85,2.3,4.7,3.7,2.7,1450000000
Rumah Siap Huni + Mezanine di Perumnas Depok 1,Pancoran Mas,129,115,3,2,1300,2,0.8,2.2,4.6,3.6,2.6,1500000000
"Rumah 2 Lantai di Perum Graha Mampang Mas, Depok",Pancoran Mas,72,67,3,2,3500,2,2.1,1.4,5.3,2.8,4.2,990000000
Rumah 2 Lantai 10 Menit ke Gerbang Tol Sawangan 4 Hadap Utara J39335,Pancoran Mas,117,210,4,2,3500,2,3.3,4.9,7.2,2.4,5.1,1110000000
"Jual Rumah Bagus Di Komplek Alam Pancoran Mas, Rawageni, Pancoran Mas, Depok",Pancoran Mas,120,120,2,2,2200,1,2.1,3.6,3.3,5.2,2.9,900000000
Take Over 70 Juta Rumah Di Rawadenok Cipayung Depok,Pancoran Mas,70,36,2,1,2200,1,2.4,2.4,6.4,1.7,6.6,750000000
Dijual Rumah Baru Perumahan Mampang Hills,Pancoran Mas,72,47,2,1,4400,1,2.1,0.9,5.4,2.3,4.8,900000000
Rumah Luas SHM 5 Menit ke Eka Hospital Margonda Bebas Banjir J41190,Pancoran Mas,197,150,4,3,2200,1,2.7,1.9,3.4,3.6,2.1,1990000000
"Di Jual Rumah di Puri Sriwedari Cibubur,Dekat Akses Tol Cibubur,Dekat Transstudio Mall Cibubur",Cimanggis,400,328,5,5,5500,2,0.75,0.85,5.8,1.9,2.2,7000000000
Jual Rumah Pondok Mekarsari Permai Cimanggis Depok Jawa Barat Van,Cimanggis,185,100,3,1,2200,1,1.4,1.8,1.9,3.9,5.1,2200000000
Rumah 2 Lantai Siap Huni Di Perumahan Permata Puri Cimanggis Depok,Cimanggis,180,150,5,4,4400,2,2.4,2.9,2.1,2.9,3,2200000000
Rumah Strategis Tugu Cimanggis Depok,Cimanggis,168,152,4,3,3500,1,1.8,3.7,2.1,5.1,3.6,2350000000
RUMAH MURAH BUMI CIMANGGIS HUNIAN NYAMAN DAN TENANG,Tapos,66,36,2,1,2200,1,0.65,4.7,2.1,2.7,4.7,700000000
"Rumah Luas Harga Bagus, Lokasi Favourite Permata Puri, Cimanggis",Cimanggis,400,140,4,3,2200,2,2.5,2.8,2,2.9,3,4300000000
Rumah 15 Menit ke Mall Pesona Square SHM Hadap Timur Siap KPR J-29109,Beji,91,58,2,1,2200,1,2.1,4.1,3.2,2.5,4.3,970000000
Jual Rumah Harga Bu di Jalan Palem Raya Beji Depok,Beji,227,110,4,3,2200,1,0.8,3.2,2.1,1.3,3.4,1850000000
Rumah Luas 1 Lantai 5 Menit ke Gerbang Tol Kukusan 1 Hadap Utara J34530,Beji,185,150,4,2,2200,1,1.3,4.7,2.2,1.1,2.9,2770000000
Rumah 2 Lantai Perumahan Mahoni Beji Depok,Beji,87,90,3,3,1300,2,1.9,2.8,2.6,2.2,2.9,970000000
"Dijual Rumah Dalam Cluster Lt 100 M² Tanah Baru, Beji Bisa Kpr",Beji,100,70,3,2,2200,1,1.9,3.5,3.4,2.4,3.7,1000000000
Rumah 2 Bangunan di Perumahan Puri Prima Lestari Beji Depok,Beji,334,295,4,4,10000,1,1.8,3.9,2.9,2.2,4.8,3800000000
Rumah Di Komplek Arco Oil Pancoran Mas Kota Depok S8930,Pancoran Mas,320,125,3,3,2200,2,1.9,2.3,5.4,1.6,6.5,3500000000
Rumah 2 Lantai Posisi Hook Di Griya Nuansa Hijau Depok Aman Nyaman & Privasi,Pancoran Mas,130,120,4,2,3500,1,1.6,3.1,4.1,2.5,7.4,1300000000
Dijual Rumah 3 Kt di Jl. Duren Kyendra Town House Depok,Pancoran Mas,80,100,3,2,2200,2,2.1,2.1,5.7,1.5,6.4,1000000000
"Rumah Di Rangkapan Jaya Baru, Pancoran Mas, Depok, Jabar",Pancoran Mas,176,108,7,3,3500,2,1.9,2.1,5.1,1.4,6.3,1700000000
RUMAH LUAS JALAN PEMUDA DEPOK,Pancoran Mas,207,90,5,3,2200,2,0.75,2.5,3.8,4.1,0.95,2000000000
RUMAH DI DEPOK LAMA,Pancoran Mas,654,160,4,1,1300,1,0.25,1.6,3.7,4.5,1.9,4600000000
Rumah Nyaman dan Kokoh Dalam Komplek Gandul Cinere Deket Pangkalan Jati dan Andara,Cinere,377,169,5,4,3500,2,2.7,1.4,3.6,1.7,6.8,4200000000
"Best Price Rumah 1,5 Lantai Super Nyaman di Komplek Bukit Cinere Indah",Cinere,250,200,5,5,3500,2,2.2,0.8,1.7,1.3,6.8,3500000000
Rumah 2 Lantai di Bukit Cinere Indah,Cinere,448,256,7,4,3500,1,2.3,0.9,1.8,1.3,6.8,4500000000
Rumah Nuansa Bandung dengan Kontur Turunan - Sejuk & Asri di Mega Cinere,Cinere,490,320,6,5,3500,2,1.5,0.35,2.6,2.5,6.1,4500000000
Rumah Lama Bukit Cinere Indah Harga 4 Milyaran,Cinere,336,196,7,4,3500,2,2.4,1.1,1.9,1.3,6.8,4200000000
Dijual Rumah Halaman Luas di Mega Cinere,Cinere,492,267,4,3,3300,2,1.4,0.25,2.6,2.5,6.1,4900000000
Rumah siap huni di perumahan Wisma Cakra di area Limo - Cinere,Limo,400,120,4,3,5500,2,3.9,4.1,2.1,1.1,7.9,5000000000
"Premium & Strategis: Rumah Luas 300M² di Graha Cinere - Selangkah ke Gerbang Tol Krukut & Limo""",Limo,300,400,4,3,3500,2,4.6,3.4,1.7,2.5,8.6,3370000000
"TSI/17622, Rumah Strategis di Cinere Depok – 321 m² SHM, Akses 3 Tol, 2 Lantai",Limo,321,240,5,4,3500,2,4.8,1.1,3.6,0.5,8.8,3900000000
"Dijual Rumah di Perumahan Grand Matoa, Krukut, Limo, Depok",Limo,362,240,5,4,4400,3,4.1,3.5,2.7,2.4,8.2,5900000000
